REGION,COMUNA,P08,P09
11,11402,2,61
11,11402,1,63
11,11402,1,40
11,11402,2,70
11,11402,1,54
11,11402,1,53
11,11402,1,55
11,11402,2,50
11,11402,1,24
11,11402,2,17
11,11402,2,23
11,11402,2,44
11,11402,1,48
11,11402,2,53
11,11402,1,53
11,11402,1,55
11,11402,2,53
11,11402,1,39
11,11402,1,63
11,11402,1,40
11,11402,2,25
11,11402,2,33
11,11402,1,40
11,11402,1,30
11,11402,2,26
11,11402,2,1
11,11402,1,62
11,11402,2,61
11,11402,2,93
11,11402,1,63
11,11402,2,55
11,11402,1,75
11,11402,1,45
11,11402,1,40
11,11402,1,53
11,11402,2,67
11,11402,2,84
11,11402,1,48
11,11402,2,62
11,11402,2,11
11,11402,1,70
11,11402,1,70
11,11402,1,70
11,11402,1,70
11,11402,1,70
11,11402,1,70
11,11402,1,70
11,11402,1,48
11,11402,1,69
11,11402,2,55
11,11402,2,30
11,11402,1,25
11,11402,1,8
11,11402,2,70
11,11402,1,62
11,11402,2,31
11,11402,2,40
11,11402,1,45
11,11402,1,12
11,11402,1,7
11,11402,1,9
11,11402,1,73
11,11402,1,68
11,11402,2,57
11,11402,2,71
11,11402,2,30
11,11402,1,26
11,11402,2,9
11,11402,2,5
11,11402,2,3
11,11402,1,30
11,11402,1,33
11,11402,1,27
11,11402,2,35
11,11402,1,32
11,11402,2,16
11,11402,1,13
11,11402,2,11
11,11402,1,8
11,11402,1,8
11,11402,1,37
11,11402,2,34
11,11402,2,17
11,11402,1,0
11,11402,2,53
11,11402,1,48
11,11402,1,9
11,11402,2,50
11,11402,1,56
11,11402,1,65
11,11402,2,48
11,11402,1,56
11,11402,2,54
11,11402,1,45
11,11402,1,74
11,11402,2,69
11,11402,2,23
11,11402,2,22
11,11402,1,87
11,11402,1,62
11,11402,1,58
11,11402,1,49
11,11402,2,41
11,11402,2,11
11,11402,1,51
11,11402,2,46
11,11402,1,18
11,11402,1,21
11,11402,2,28
11,11402,1,30
11,11402,1,7
11,11402,1,2
11,11402,1,71
11,11402,2,65
11,11402,1,27
11,11402,1,29
11,11402,2,57
11,11402,2,14
11,11402,1,83
11,11402,2,75
11,11402,2,47
11,11402,1,22
11,11402,2,26
11,11402,2,43
11,11402,2,21
11,11402,1,10
11,11402,2,60
11,11402,1,25
11,11402,2,35
11,11402,1,64
11,11402,1,41
11,11402,2,36
11,11402,1,13
11,11402,1,6
11,11402,2,0
11,11402,1,44
11,11402,1,14
11,11402,1,55
11,11402,2,52
11,11402,1,28
11,11402,2,29
11,11402,2,24
11,11402,1,27
11,11402,2,4
11,11402,1,1
